suite	folder	name	description	path
agency	agency	agency		skills/agency/SKILL.md
agency	agency-client	agency-client	Client lookup and history — searches all output files for a client and displays a comprehensive summary	skills/agency-client/SKILL.md
agency	agency-onboard	agency-onboard	Full Agency Onboard — launches 5 parallel audit teams and produces a unified client-ready report with composite scoring	skills/agency-onboard/SKILL.md
agency	agency-pipeline	agency-pipeline	Prospect Pipeline Manager — scans all audit files to build a scored, staged pipeline view with revenue projections	skills/agency-pipeline/SKILL.md
agency	agency-propose	agency-propose	Unified Agency Proposal Generator — builds a three-tier service proposal with ROI projections from all available audit data	skills/agency-propose/SKILL.md
agency	agency-quick	agency-quick	60-Second Agency Snapshot — rapid 5-dimension assessment without subagents, outputs a compact scorecard	skills/agency-quick/SKILL.md
agency	agency-report-pdf	agency-report-pdf	Unified PDF report generator — combines all audit scores into a professional client-ready PDF	skills/agency-report-pdf/SKILL.md
agency	agency-stack	agency-stack	Tool suite status checker — shows which of the 9 AI tool suites are installed and ready	skills/agency-stack/SKILL.md
agency	agency-status	agency-status	Agency dashboard — shows agency-wide status, pipeline metrics, installed tools, and recent activity	skills/agency-status/SKILL.md
analytics	analytics	analytics	Analytics Skill orchestrator for enmessara.ai - coordinates a 6-agent LinkedIn analytics system for weekly post review, hook win rates, pillar effectiveness, funnel leaks, profile health, and monthly strategy refresh	skills/analytics/SKILL.md
analytics	analytics-dm-funnel-diagnoser	analytics-dm-funnel-diagnoser	Agent 4 of the Analytics Skill - diagnoses where the LinkedIn lead-generation funnel leaks from impressions to booked calls and clients	skills/analytics-dm-funnel-diagnoser/SKILL.md
analytics	analytics-hook-win-rate	analytics-hook-win-rate	Agent 2 of the Analytics Skill - tracks win rates across nine LinkedIn hook frameworks using qualified DMs and booked calls rather than vanity engagement	skills/analytics-hook-win-rate/SKILL.md
analytics	analytics-monthly-strategy-refresh	analytics-monthly-strategy-refresh	Agent 6 of the Analytics Skill - synthesizes monthly LinkedIn analytics from Agents 1-5 into a 30-day strategy refresh and operating plan	skills/analytics-monthly-strategy-refresh/SKILL.md
analytics	analytics-pillar-effectiveness	analytics-pillar-effectiveness	Agent 3 of the Analytics Skill - analyzes which LinkedIn content pillars drive qualified DMs and booked calls versus empty engagement	skills/analytics-pillar-effectiveness/SKILL.md
analytics	analytics-profile-click-audit	analytics-profile-click-audit	Agent 5 of the Analytics Skill - audits LinkedIn profile clicks, connection conversion, profile health, and top-of-funnel visitor quality	skills/analytics-profile-click-audit/SKILL.md
analytics	analytics-weekly-post-review	analytics-weekly-post-review	Agent 1 of the Analytics Skill - reviews last week's LinkedIn posts to identify top performers, flops, patterns, wasted reach, lead quality, and next-week recommendations	skills/analytics-weekly-post-review/SKILL.md
content	content	content	Content Skill orchestrator for enmessara.ai — coordinates the LinkedIn content engine from voice extraction through drafting, cleanup, calendars, hooks, and repurposing	skills/content/SKILL.md
content	content-calendar-planner	content-calendar-planner	Agent 7 of the Content Skill — builds a 30-day LinkedIn content calendar from the 4 pillars, cadence, lead magnets, launches, hook frameworks, goals, and voice context	skills/content-calendar-planner/SKILL.md
content	content-cleanup	content-cleanup	Agent 4 of the Content Skill — removes AI smell from LinkedIn drafts while preserving meaning, structure, and the saved writer voice	skills/content-cleanup/SKILL.md
content	content-contrarian-pov	content-contrarian-pov	Agent 9 of the Content Skill — writes contrarian POV and hot-take LinkedIn posts in the saved writer voice using a consensus view, actual position, proof, and tone	skills/content-contrarian-pov/SKILL.md
content	content-hook-library	content-hook-library	Agent 6 of the Content Skill — generates 30 LinkedIn hook variations by desire, curiosity, and fear triggers for a topic, goal, voice profile, and content pillar	skills/content-hook-library/SKILL.md
content	content-listicle	content-listicle	Agent 8 of the Content Skill — writes structured LinkedIn listicle posts for authority, saves, DMs, and tactical education in the saved writer voice	skills/content-listicle/SKILL.md
content	content-pillar-mapping	content-pillar-mapping	Agent 5 of the Content Skill — maps 4 LinkedIn content pillars directly to offer, ICP, positioning, booked-call goals, and downstream post strategy	skills/content-pillar-mapping/SKILL.md
content	content-post-draft	content-post-draft	Agent 3 of the Content Skill — drafts 3 LinkedIn post versions in the saved writer voice from a topic, story, client conversation, insight, or rough idea	skills/content-post-draft/SKILL.md
content	content-repurposing	content-repurposing	Agent 10 of the Content Skill — turns long-form source content into 5 distinct LinkedIn posts across listicle, contrarian, story, framework, and lead magnet angles	skills/content-repurposing/SKILL.md
content	content-system-prompt-template	content-system-prompt-template	Agent 2 of the Content Skill — converts the Agent 1 Voice Profile into a reusable LinkedIn ghostwriter system prompt for Projects, Custom GPTs, Gems, or downstream drafting agents	skills/content-system-prompt-template/SKILL.md
content	content-voice-extraction	content-voice-extraction	Agent 1 of the Content Skill — turns 10 LinkedIn posts into a structured Voice Profile that powers every downstream content agent	skills/content-voice-extraction/SKILL.md
other	cro-advisor	cro-advisor	Revenue leadership for B2B SaaS companies. Revenue forecasting, sales model design, pricing strategy, net revenue retention, and sales team scaling. Use when designing the revenue engine, setting quotas, modeling NRR, evaluating pricing, building board forecasts, or when user mentions CRO, chief revenue officer, revenue strategy, sales model, ARR growth, NRR, expansion revenue, churn, pricing strategy, or sales capacity.	skills/cro-advisor/SKILL.md
engagement	engagement	engagement	Engagement Skill orchestrator for enmessara.ai - coordinates an 8-agent LinkedIn engagement loop for daily lists, comments, connection messages, DMs, replies, qualification, follow-ups, and weekly strategy	skills/engagement/SKILL.md
engagement	engagement-comment-generator	engagement-comment-generator	Agent 2 of the Engagement Skill - drafts five LinkedIn comment variations for a strategic post, optimized for visibility, specificity, and conversation-starting	skills/engagement-comment-generator/SKILL.md
engagement	engagement-connection-message	engagement-connection-message	Agent 3 of the Engagement Skill - drafts five LinkedIn connection request note variations under 300 characters with specific, no-pitch relationship context	skills/engagement-connection-message/SKILL.md
engagement	engagement-daily-list-builder	engagement-daily-list-builder	Agent 1 of the Engagement Skill - builds a curated daily LinkedIn engagement list of 20 profiles across ICP targets, adjacent voices, peers, and existing connections	skills/engagement-daily-list-builder/SKILL.md
engagement	engagement-dm-outreach	engagement-dm-outreach	Agent 4 of the Engagement Skill - drafts cold-ish LinkedIn DM opener variations for first-degree connections, plus reply and no-reply follow-up messages	skills/engagement-dm-outreach/SKILL.md
engagement	engagement-follow-up-sequencer	engagement-follow-up-sequencer	Agent 7 of the Engagement Skill - builds a four-touch LinkedIn DM follow-up sequence for warm leads who have not booked yet, spread over 30 days	skills/engagement-follow-up-sequencer/SKILL.md
engagement	engagement-lead-qualifier	engagement-lead-qualifier	Agent 6 of the Engagement Skill - scores LinkedIn DM leads across ICP fit, pain awareness, budget, timing, and decision power to recommend book, qualify, nurture, or exit	skills/engagement-lead-qualifier/SKILL.md
engagement	engagement-reply-handler	engagement-reply-handler	Agent 5 of the Engagement Skill - drafts three reply variations for inbound LinkedIn DMs based on the sender, conversation goal, fit, and next best action	skills/engagement-reply-handler/SKILL.md
engagement	engagement-strategy-planner	engagement-strategy-planner	Agent 8 of the Engagement Skill - builds a weekly LinkedIn engagement strategy with daily activities, time budget, priority matrix, KPIs, and recommendations	skills/engagement-strategy-planner/SKILL.md
other	enmessara-blog	enmessara-blog		skills/enmessara-blog/SKILL.md
geo	geo	geo	GEO-first SEO analysis tool. Optimizes websites for AI-powered search engines (ChatGPT, Claude, Perplexity, Gemini, Google AI Overviews) while maintaining traditional SEO foundations. Performs full GEO audits, citability scoring, AI crawler analysis, llms.txt generation, brand mention scanning, platform-specific optimization, schema markup, technical SEO, content quality (E-E-A-T), and client-ready GEO report generation. Use when user says "geo", "seo", "audit", "AI search", "AI visibility", "optimize", "citability", "llms.txt", "schema", "brand mentions", "GEO report", or any URL for analysis.	skills/geo/SKILL.md
geo	geo-audit	geo-audit	Full website GEO+SEO audit with parallel subagent delegation. Orchestrates a comprehensive Generative Engine Optimization audit across AI citability, platform analysis, technical infrastructure, content quality, and schema markup. Produces a composite GEO Score (0-100) with prioritized action plan.	skills/geo-audit/SKILL.md
geo	geo-brand-mentions	geo-brand-mentions	Brand mention and authority scanner for AI visibility. Analyzes brand presence across platforms that AI models rely on for entity recognition and citation decisions. Produces a Brand Authority Score (0-100) with platform-specific recommendations.	skills/geo-brand-mentions/SKILL.md
